Date,Actual,Predicted,RSI
2023-07-28,29319.24605308317,28368.361008868924,30.19241548575552
2023-07-29,29356.91803313434,28416.40910623157,31.6702897031344
2023-07-30,29275.308487668408,28471.33927991845,31.24409534958346
2023-07-31,29230.111290867226,28418.039165183684,31.95868148473751
2023-08-01,29675.73239522698,28830.924954860027,46.64420389585389
2023-08-02,29151.959069347664,28813.78920071146,37.94629252592584
2023-08-03,29178.67959974513,28714.905027772977,39.996216628456224
2023-08-04,29074.0918490527,28687.446307190658,36.33231785728801
2023-08-05,29042.12700001749,28593.82851272496,37.625914372274494
2023-08-06,29041.855471578063,28437.70558215408,30.22177004493581
2023-08-07,29180.57822608499,28634.220218747992,50.09807250214786
2023-08-08,29765.492235453446,29443.26289245352,61.20355701154868
2023-08-09,29561.494132938264,29130.806204431843,54.16727908223305
