Date,Price,Volume,RSI,EMA,MACD,MACD_Signal,ATR,BollingerMiddle,BollingerUpper,BollingerLower,STD,UpCandle,DownCandle,Dominance,DXY,FearGreed,HashRate
2019-05-14,7994.416,32031452227,90.33445217120664,6556.455405923301,607.4791362630713,392.90815498734815,383.80944285714304,6002.156885,7709.015954101766,4295.297815898235,844.7822143610651,0.4792704034688176,0.1948085849604187,63.55537082840904,97.52999877929688,78,48059292.44387208
2019-05-15,8205.168,28344112920,90.78110878802286,6776.283751800194,684.2986939343346,451.1862627767455,401.4493714285717,6151.889505,8077.70647926733,4226.07253073267,938.9145954685084,0.0354717949154324,0.2844714542465275,68.78371124697168,97.56999969482422,77,49641834.1361313
2019-05-16,7884.9092,33167197581,82.56492243662166,6924.100478226836,711.1389708114293,503.1768043836823,434.5329714285716,6282.16756,8309.311969199862,4255.023150800139,957.3561034241174,0.2136668201357255,0.2626803952127129,69.0983194652403,97.83999633789062,75,50812906.35862242
2019-05-17,7343.8955,30066644905,70.03735434153134,6980.073147796591,680.9057419167148,538.7225918902888,471.3430357142858,6385.947785,8407.055219965814,4364.8403500341865,933.6752240283436,0.0473835072349581,0.3431692406800735,68.92730747395336,98.0,65,51983978.58111355
2019-05-18,7271.208,21354286562,68.26775853371466,7018.8911280903785,643.6606965785004,559.7102128279312,468.0818357142858,6485.251225,8473.524220445646,4496.978229554354,897.7047207390757,0.539452902318871,0.1006479110945826,63.1236101335615,97.97666676839192,67,53155050.80360468
2019-05-19,8197.6895,25902422040,74.85234568681958,7176.064244344995,681.0522969935355,583.9786296610521,530.0926142857144,6632.768075,8671.481152958604,4594.054997041397,899.9554812976644,0.0646411366040606,0.0001,63.31970228686272,97.95333353678386,70,54326123.0260958
2019-05-20,7978.3091,23843404340,72.30171658002568,7283.030225098996,685.0859999170689,604.2001037122554,556.7294785714287,6764.147199999999,8793.630314607208,4734.664085392791,843.0990584729137,0.0077443654666408,0.5736027826094957,68.03748360739468,97.93000030517578,73,53909511.6531963
2019-05-21,7963.3276,25127245056,71.61813061604312,7373.736541752463,679.2439551999842,619.2088740098012,554.7327642857143,6892.178715,8882.732965196357,4901.624464803643,758.9361070520016,0.3847712497749382,0.5483196407044426,68.13215273670494,98.05999755859376,68,53492900.2802968
2019-05-22,7680.0664,24719473175,66.75633006630699,7414.580522852135,644.3298477413009,624.2330687561011,568.0441785714286,7000.91785,8908.341562542906,5093.4941374570935,644.9511016235407,0.1082746151326548,0.167911169341631,68.44808765036838,98.11000061035156,69,53076288.9073973
2019-05-23,7881.8467,24457107820,66.81992508832855,7476.882679805183,625.7291339461353,624.532281794108,583.0350357142858,7106.595705,8959.903805405062,5253.287604594938,524.2221277088221,0.1508660486849931,0.350886652945107,68.1179529859821,97.8499984741211,65,52659677.5344978
2019-05-24,7987.3716,25919126991,66.16121990435626,7544.947869164493,612.4430495317329,622.114435341633,586.1187714285716,7214.405909999999,9005.122033227568,5423.689786772432,388.4019867145364,0.4848629814304801,0.1810048976984941,66.68183941540204,97.61000061035156,64,53409578.0057169
2019-05-25,8052.5439,22256813107,60.05485065202338,7612.627339942561,600.2532460784923,617.7421974890049,528.5934500000001,7327.24768,9023.48269099191,5631.01266900809,363.5881118491836,0.4302864697988891,0.1705116890655265,68.69923206032517,97.69750022888184,69,54159478.476936
2019-05-26,8673.2158,26677970091,68.4713331664064,7754.039134616886,633.3746257538332,620.8686831419706,533.9326642857144,7473.568115,9099.179392326894,5847.956837673106,348.9151190930124,0.0187516525199388,0.1711157932600392,69.32488339794037,97.78499984741212,67,54909378.9481551
2019-05-27,8805.7783,27949839564,62.722853024097525,7894.271023334635,662.6812665165198,629.2311998168805,468.8854357142859,7622.381955,9156.64501359253,6088.11889640747,418.7118111191556,0.4251965763365329,0.0225068425883898,70.13311452344615,97.87249946594238,70,55659279.4193742
2019-05-28,8719.9619,24226919267,59.54579017288667,8004.363140223351,671.2446338774116,637.6338866289867,440.3120857142859,7759.257175000001,9160.155975366642,6358.358374633359,461.4513578984461,0.0247180850971294,0.4947343188916201,75.59812137736704,97.95999908447266,71,52591024.7086266
2019-05-29,8659.4873,23473479966,56.22343696383698,8091.7130281935715,665.4801287171149,643.2031350466124,437.15545000000026,7883.5051,9124.239788991512,6642.770411008489,488.6709392842213,0.13642411505397,0.6471741772967604,75.30867309637416,98.13999938964844,71,49522769.997879
2019-05-30,8319.4727,29246528551,55.92076871930046,8122.0809844344285,626.2562875947506,639.81376555624,451.1429714285718,7980.536279999998,9011.635261647869,6949.43729835213,489.2265713554235,0.4403249080638857,0.1247702311861479,74.6690774625369,98.13999938964844,73,46454515.2871314
2019-05-31,8574.502,25365190957,68.18358580841422,8182.403786509838,608.7327518140391,633.5975628077998,417.0777857142861,8049.022805,9044.508454562454,7053.537155437547,450.05585802146777,0.0293575305403117,0.356755139475556,74.62011336546055,97.75,61,43386260.5763838
2019-06-01,8564.0166,22488303544,69.4604148171769,8233.285494975193,587.2299183469404,624.324033915628,413.3817071428575,8128.605055,9009.583527066508,7247.626582933492,371.0825304829784,0.3593938447117661,0.5724001458105553,72.44871037382637,97.54666646321614,62,46816370.92109793
2019-06-02,8742.958,20266216022,60.591453304765125,8301.2418289785,577.9654178431238,615.0523107011272,360.10240714285754,8175.007205,9083.742529108686,7266.271880891314,388.85726990075,0.2674493274634431,0.0170848109169924,73.89515601369644,97.3433329264323,63,50246481.26581205
2019-06-03,8208.9951,22004511436,53.99293213313545,8288.9422651147,521.5250745100129,596.3468634629044,361.32586428571466,8185.73616,9090.55242611434,7280.919893885661,377.5884170122528,0.0032502371065482,0.0089179875564267,74.85278933027246,97.13999938964844,66,53676591.610526174
2019-06-04,7707.771,24609731549,46.21388857069221,8211.452763099407,431.378437716151,563.3531783135537,391.8736071428575,8160.866309999999,9090.438046962416,7231.294573037583,402.8075110061895,0.0001,0.2216286984339898,74.26299929264461,97.06999969482422,42,57106701.9552403
2019-06-05,7824.2314,21760923463,52.24687597506453,8159.8232480194865,365.1250255532541,523.7075477614939,381.2704357142861,8157.832420000001,9091.58307008726,7224.081769912742,386.509974675251,0.3328651697439688,0.1529921442864483,68.82613562773754,97.37000274658205,27,54325531.4054721
2019-06-06,7822.0234,19474611077,49.005778101581,8114.783268283556,308.879975846673,480.74203337852975,378.0757857142861,8181.7388150000015,9049.927842112567,7313.549787887435,392.2210635169437,0.3151871595781664,0.6782801850714038,67.42027616758674,97.02999877929688,34,51544360.85570391
2019-06-07,8043.9512,19141423231,50.90528762109468,8105.338992512416,278.9969839016694,440.3930234831577,379.61212857142897,8220.375974999999,8979.93060162345,7460.821348376548,388.6608777407717,0.243360023305122,0.1140621789698496,67.1830127246352,96.61000061035156,27,48763190.3059357
