Date,Actual,Predicted
2023-08-25,26047.66799053792,25879.29274628221
2023-08-26,26008.462888964154,25715.62675862492
2023-08-27,26089.69338280137,25758.75817771868
2023-08-28,26106.150389877646,26010.018440453256
2023-08-29,27727.39258851542,26794.9520277744
2023-08-30,27297.265631250557,26967.125394518756
2023-08-31,25931.472695164877,27206.3681919802
2023-09-01,25800.724571027324,26910.79982522574
2023-09-02,25868.798779113702,26798.894705104947
2023-09-03,25969.56640300216,26852.379626477952
2023-09-04,25812.41598749689,26803.66209084924
2023-09-05,25779.982403980088,26639.500404633454
2023-09-06,25753.236334511847,26510.55844799692
2023-09-07,26240.19531194715,26640.58749923956
2023-09-08,25905.654323189272,26742.401623566187
2023-09-09,25895.67772577627,26606.430287537434
2023-09-10,25832.226607684304,26591.629850079124
2023-09-11,25162.654354035945,26658.267938845416
2023-09-12,25833.34381248472,26087.538033280503
2023-09-13,26228.324196653506,26511.207103381472
2023-09-14,26539.673798343563,27098.534795523665
2023-09-15,26608.69339967637,27157.488298186334
2023-09-16,26568.281201093694,27093.074024007816
2023-09-17,26534.18750163687,27134.33250388508
2023-09-18,26754.281205616993,27596.458066174353
2023-09-19,27211.117200697478,27747.664022371173
2023-09-20,27132.007782207882,27476.310877197397
2023-09-21,26567.63280017452,27288.55910293116
2023-09-22,26579.568400465214,27183.473525424342
2023-09-23,26579.39059972153,27183.60803119709
2023-09-24,26256.826206783575,27287.803738646544
2023-09-25,26298.480505244715,27439.08268476738
2023-09-26,26217.250011407494,27250.218443383426
2023-09-27,26352.716793482563,27190.75786061985
2023-09-28,27021.546896539447,27533.207855439156
2023-09-29,26911.7207122995,27396.467895166206
2023-09-30,26967.915995318413,27472.620000299437
2023-10-01,27983.750005619037,28265.546928135278
2023-10-02,27530.7851969775,28541.63301832095
2023-10-03,27429.978487206812,28066.065021648712
2023-10-04,27799.394483608194,28086.449049494753
2023-10-05,27415.91208520771,28302.561406659992
2023-10-06,27946.597690138427,28561.179660750724
2023-10-07,27968.83977791625,28430.756289956626
2023-10-08,27935.089858873278,28574.124342345593
2023-10-09,27583.677722947952,28535.998877228998
2023-10-10,27391.01948604114,28505.256794486748
2023-10-11,26873.32029502746,28136.83608158269
2023-10-12,26756.79880279827,27559.408203082014
2023-10-13,26862.375008062576,27490.954832327487
2023-10-14,26861.706994802636,27385.267569118452
2023-10-15,27159.652308783378,27242.539474024714
2023-10-16,28519.466733466237,28674.076566626536
2023-10-17,28415.748051443097,28414.931245336033
2023-10-18,28328.341803147752,28313.718057195405
2023-10-19,28719.806604678277,28636.44071140591
2023-10-20,29682.94907039151,29255.849640421067
2023-10-21,29918.41219641762,29530.3509757454
2023-10-22,29993.89651036979,29424.178322139047
2023-10-23,33086.23411963592,33021.95620188746
2023-10-24,33901.527129288865,34530.417789954314
2023-10-25,34502.82019604801,34926.04805094147
2023-10-26,34156.64838134065,34787.885379360596
2023-10-27,33909.80089990462,34511.15259548712
2023-10-28,34089.574046381706,34966.88746797914
2023-10-29,34538.480733690165,35195.75248253753
2023-10-30,34502.363009667984,35275.70739232238
2023-10-31,34667.78097758048,35312.447529408564
2023-11-01,35437.25408126306,35718.92175387329
2023-11-02,34938.242253987,35804.22728405134
2023-11-03,34732.32420555984,35537.49456392546
2023-11-04,35082.19555824133,35785.78822300401
2023-11-05,35049.355718433464,35725.01678265988
2023-11-06,35037.37115784718,35553.504378171136
2023-11-07,35443.5623057709,35573.811270620805
2023-11-08,35655.27750118523,35522.987187304294
2023-11-09,36693.12552425771,36674.03266299852
2023-11-10,37313.9692308664,36630.444797787655
2023-11-11,37138.0507814717,36392.633261670875
2023-11-12,37054.51951346277,36304.97251098328
2023-11-13,36502.35562403615,36490.590773484815
2023-11-14,35537.64083987865,36048.60169512079
2023-11-15,37880.58186809084,36461.789808174086
2023-11-16,36154.76961104445,36230.368221591634
2023-11-17,36596.684070906034,36152.7744544197
2023-11-18,36585.70330684066,36033.68332452588
2023-11-19,37386.54697648545,36210.66242263383
2023-11-20,37476.95735976691,36257.108294930214
2023-11-21,35813.81220835282,36227.170877983124
2023-11-22,37432.340232990646,36405.35690075753
2023-11-23,37289.621095078255,36115.1270510975
2023-11-24,37720.28118969884,36286.6951233579
2023-11-25,37796.79358079574,36466.12182678795
2023-11-26,37479.12129633766,36385.516077842934
2023-11-27,37254.16783105399,36131.332294754335
2023-11-28,37831.08611255983,36844.04322207308
2023-11-29,37858.492422527335,36654.43642295304
2023-11-30,37712.7459053731,37169.14300857559
2023-12-01,38688.74999518146,37655.54786220136
2023-12-02,39476.33170654343,38120.69828683854
2023-12-03,39978.39104821278,37989.87191691023
2023-12-04,41980.09751929571,39901.35395875746
2023-12-05,44080.648633277146,41349.47168234337
2023-12-06,43746.44538947698,41319.10787395377
2023-12-07,43292.664218886144,41504.981379110475
2023-12-08,44166.60204156368,42215.63141445708
2023-12-09,43725.98452233974,42363.23273438624
2023-12-10,43779.69918431029,42366.4792314527
2023-12-11,41243.832018040164,41983.02303835962
2023-12-12,41450.223242526445,41138.96578043684
2023-12-13,42890.741723070234,41602.60962197714
2023-12-14,43023.97246696605,41685.065436014396
2023-12-15,41929.75727182439,41566.32963232267
2023-12-16,42240.11694304337,41374.237918629326
2023-12-17,41364.66424632424,41263.595261400624
2023-12-18,42623.538787936915,40619.314238501815
2023-12-19,42270.52694383924,40300.08444085789
2023-12-20,43652.24959772255,41354.88211598059
2023-12-21,43869.15255568745,41667.18305268368
2023-12-22,43997.902636174855,42854.167997088705
2023-12-23,43739.54258579097,43106.69596007554
2023-12-24,43016.11738905842,43031.30995303929
2023-12-25,43613.14002707874,43919.68112604588
2023-12-26,42520.40180451712,43381.05990260173
2023-12-27,43442.85586682857,43527.72908346074
2023-12-28,42627.856001292355,43254.37545176917
2023-12-29,42099.40184491079,43067.608893424534
2023-12-30,42156.901915354305,43016.40520328212
2023-12-31,42265.18757544245,43233.23354274458
2024-01-01,44167.33164469864,43185.17567391136
2024-01-02,44957.96916139862,44639.354078084325
2024-01-03,42848.17601290072,42559.57888713933
2024-01-04,44179.92203645951,42720.983445599166
2024-01-05,44162.691084499296,43094.86359754582
2024-01-06,43989.1947753822,42923.96709180737
2024-01-07,43943.09712276388,42748.32224358828
2024-01-08,46970.5047907007,45042.623260206165
2024-01-09,46139.73081063287,45171.04644058764
2024-01-10,46627.77845573299,45063.9428323318
2024-01-11,46368.58575761553,45377.623619119695
2024-01-12,42853.16834604015,43350.86428194778
2024-01-13,42842.38301138592,42945.79241156066
2024-01-14,41796.2695086424,41378.32061669138
2024-01-15,42511.96872932075,41883.96993742256
2024-01-16,43154.945705057886,41912.721749275326
2024-01-17,42742.65242182353,42521.897727827934
2024-01-18,41262.059067786904,40939.8622963555
2024-01-19,41618.406240501565,40920.686525649166
2024-01-20,41665.5864536156,40941.19476961336
2024-01-21,41545.7846713176,40548.547472092774
2024-01-22,39507.36708145499,38545.60683466791
2024-01-23,39845.55116313928,39452.42535966655
2024-01-24,40077.074609899675,39134.735308898365
2024-01-25,39933.80826963605,39754.2157473117
2024-01-26,41816.871321839804,40418.83801085972
2024-01-27,42120.05458819716,41430.84730472626
2024-01-28,42035.59354995943,41391.62995180115
2024-01-29,43288.246329773436,42247.20096309245
2024-01-30,42952.609936958164,42029.13490402603
2024-01-31,42582.60520945569,41790.59850245698
2024-02-01,43075.773105127984,42421.73600914034
2024-02-02,43185.85908464006,42348.91664170387
2024-02-03,42992.250128063766,41924.46528025453
2024-02-04,42583.58235651145,41775.860756014794
2024-02-05,42658.6675206966,43092.05296728725
2024-02-06,43084.67165764909,43341.579608287066
2024-02-07,44318.2232852592,43794.27703396153
2024-02-08,45301.56604556147,45191.39123449887
2024-02-09,47147.199035636644,46844.0963098851
2024-02-10,47771.27739510508,46223.867317606026
2024-02-11,48293.91723039971,47043.9341347841
2024-02-12,49958.22252186363,50122.231621384824
2024-02-13,49742.442394697355,50115.41409598732
2024-02-14,51826.69588020941,51568.95883509987
2024-02-15,51938.55493746994,51713.512640635745
2024-02-16,52160.202684653465,51641.97600078884
2024-02-17,51662.997098904714,51356.018948708996
2024-02-18,52122.54758259689,51635.854914747426
2024-02-19,51779.14375900384,52411.171950033786
2024-02-20,52284.87480476151,52316.90864630095
2024-02-21,51839.17967410965,51929.8376013119
2024-02-22,51304.97278651617,51761.61196419253
2024-02-23,50731.95006460596,51348.90294930173
2024-02-24,51571.10263651917,51021.72568893764
2024-02-25,51733.23798253465,51034.69272647272
2024-02-26,54522.40180080882,52719.185283898274
2024-02-27,57085.372065354,56069.70528044723
2024-02-28,62504.788348960516,59999.04692252459
2024-02-29,61198.38182129373,60656.72018998032
2024-03-01,62440.633018751774,62436.58466888925
2024-03-02,62029.84750303498,61920.094345732185
2024-03-03,63167.37222452919,63146.20662709113
2024-03-04,68330.41354680086,66055.35936612973
2024-03-05,63801.19836614173,65296.034378778946
2024-03-06,66106.80586251024,66911.48705513765
2024-03-07,66925.48216981746,67256.97309027497
2024-03-08,68300.09237755551,67452.69623775371
2024-03-09,68498.88080573766,67414.0320092832
2024-03-10,69019.78901800742,67607.57582272244
2024-03-11,72123.9045064523,67965.30402994256
2024-03-12,71481.2899634413,67956.00869649579
2024-03-13,73083.49844782728,68554.01321925456
2024-03-14,71396.59440991019,68440.04826203629
2024-03-15,69403.77346272096,68159.88065820922
2024-03-16,65315.117764672745,68155.60253073601
2024-03-17,68390.62475616636,68160.99875132515
2024-03-18,67548.59167317484,68142.33701919118
2024-03-19,61912.7722571277,65276.62883046192
2024-03-20,67913.67276393696,66579.29969532404
2024-03-21,65491.39035584887,67304.51573611514
2024-03-22,63778.760700900166,66150.79287748813
2024-03-23,64062.20204346918,66858.04599434271
2024-03-24,67234.17062346592,67239.63790929547
2024-03-25,69958.81194112252,68168.44165083834
2024-03-26,69987.83498530956,68330.88257738763
2024-03-27,69455.34313885152,68189.44853590614
2024-03-28,70744.95458136601,68405.99853651029
2024-03-29,69892.830234235,68406.63338599137
